id,distributor_id,category_id,material_code,title,description,quality_grade,quantity,unit,price,currency,location,latitude,longitude,status,requires_msds,created_at,updated_at
mat-001,7373e264-7c80-42a2-9bb0-c57324449167,e0e2d333-dfdd-4e13-af22-63eac2c7901a,MAT-001,Cacahan Plastik PET Bening Grade A #1,Stok limbah industri Cacahan Plastik PET Bening Grade A #1 dengan kualitas Grade A dari area Jakarta Pusat (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,140,KG,12000,IDR,Jakarta Pusat,-6.1805,106.8284,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-002,cc3c0fb9-a39c-4614-9352-86bfbe044602,0f44d2e8-147b-4090-b996-4b19bcf2cfd9,MAT-002,Kardus Bekas Press Super #2,Stok limbah industri Kardus Bekas Press Super #2 dengan kualitas Grade B dari area Jakarta Selatan (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,370,KG,3700,IDR,Jakarta Selatan,-6.2615,106.8106,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-003,d362a06f-0785-4861-89d5-6db1f0c6e2bc,ca47835e-3d4b-41ce-bcaa-f3e56e62bcd9,MAT-003,Scrap Alumunium Potongan Pabrik #3,Stok limbah industri Scrap Alumunium Potongan Pabrik #3 dengan kualitas Grade C dari area Jakarta Barat (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,31,TON,25001000,IDR,Jakarta Barat,-6.1683,106.7588,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-004,7fc27b08-3648-43fc-9c88-1f8e18f68889,8f7f3289-92be-4887-9a2f-76319f6e3e88,MAT-004,Cullet Kaca Bening Siap Lebur #4,Stok limbah industri Cullet Kaca Bening Siap Lebur #4 dengan kualitas Grade D dari area Jakarta Utara (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,50,TON,1200000,IDR,Jakarta Utara,-6.1214,106.8911,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-005,2462692b-11ec-4f2e-a1ef-d02fd2170e49,09a5c3b4-1501-413f-ba89-ae6e688f370b,MAT-005,Scrap PCB Server High Grade #5,Stok limbah industri Scrap PCB Server High Grade #5 dengan kualitas Grade A dari area Jakarta Timur (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,250,KG,85500,IDR,Jakarta Timur,-6.225,106.9004,DRAFT,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-006,8f1cf643-ee6e-425f-9a52-7960386947cc,50bcc420-adf7-43d4-a717-180bb8be9214,MAT-006,Kain Perca Katun Putih Bersih #6,Stok limbah industri Kain Perca Katun Putih Bersih #6 dengan kualitas Grade B dari area Bandung (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,560,KG,9000,IDR,Bandung,-6.9175,107.6191,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-007,78a4dfa3-6330-4877-ae9f-e112c129b2cb,150a019c-eb53-4397-8920-718f230bc2f0,MAT-007,Kompos Organik Matang Super #7,Stok limbah industri Kompos Organik Matang Super #7 dengan kualitas Grade C dari area Bogor (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,54,TON,850000,IDR,Bogor,-6.5971,106.7996,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-008,6713f812-53f1-4f47-a7fb-5f86bb673942,7473c7c6-3ad2-49f0-8175-effc5e05a385,MAT-008,Minyak Jelantah Restoran Clean #8,Stok limbah industri Minyak Jelantah Restoran Clean #8 dengan kualitas Grade D dari area Depok (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,370,LITER,10000,IDR,Depok,-6.4025,106.7942,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-009,f72a4207-a949-4a13-a4b8-cff252ed33f0,df8df47c-5b47-42f4-b288-aa55fce8269f,MAT-009,Palet Kayu Pinus Bekas Logistik #9,Stok limbah industri Palet Kayu Pinus Bekas Logistik #9 dengan kualitas Grade A dari area Bekasi (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,270,PCS,46000,IDR,Bekasi,-6.2383,106.9756,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-010,6042c93c-f9d4-478f-a9a7-bbcb5e8b8273,15b850e7-6ea2-4394-825c-873a0f50c703,MAT-010,Sisa Buah & Sayur Market Organik #10,Stok limbah industri Sisa Buah & Sayur Market Organik #10 dengan kualitas Grade B dari area Cirebon (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,400,KG,1500,IDR,Cirebon,-6.732,108.5523,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
